global_order,step_no,step_title,sub_step_no,sub_step_title,position,sl_no,id,title,difficulty,difficulty_code,tags,leetcode,coding_ninjas,gfg,youtube,article,tuf_plus,tuf_plus_editorial,leetcode_original,coding_ninjas_original,gfg_original,youtube_original,article_original,tuf_plus_original,tuf_plus_editorial_original,flags_and_link_issues
73,3,Solve Problems on Arrays [Easy -> Medium -> Hard],3,Hard,7,7,mrgvrlppingsbintrvls,Merge Overlapping Subintervals,Medium,1,Arrays | Data Structures | Sorting,https://leetcode.com/problems/merge-intervals/,https://www.codingninjas.com/codestudio/problems/merge-all-overlapping-intervals_6783452,https://www.geeksforgeeks.org/problems/overlapping-intervals--170633/1,https://www.youtube.com/watch?v=IexN60k62jo,https://takeuforward.org/data-structure/merge-overlapping-sub-intervals/,,,,https://www.codingninjas.com/codestudio/problems/merge-all-overlapping-intervals_6783452?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3zRz904,https://youtu.be/IexN60k62jo,,,,gfg:bitly_expanded_destination_unverified
74,3,Solve Problems on Arrays [Easy -> Medium -> Hard],3,Hard,8,8,mrgtwsrtdrryswithtxtrspc,Merge two sorted arrays without extra space,Medium,1,Arrays | Sorting | Data Structures,https://leetcode.com/problems/merge-sorted-array/,https://www.codingninjas.com/codestudio/problems/merge-two-sorted-arrays-without-extra-space_6898839,https://www.geeksforgeeks.org/problems/merge-two-sorted-arrays-1587115620/1,https://www.youtube.com/watch?v=n7uwj04E0I4,https://takeuforward.org/data-structure/merge-two-sorted-arrays-without-extra-space/,https://takeuforward.org/plus/dsa/problems/merge-two-sorted-arrays-without-extra-space,https://takeuforward.org/plus/dsa/problems/merge-two-sorted-arrays-without-extra-space?tab=editorial,,https://www.codingninjas.com/codestudio/problems/merge-two-sorted-arrays-without-extra-space_6898839?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3zRzmAo,https://youtu.be/n7uwj04E0I4,,,,gfg:bitly_expanded_destination_unverified
75,3,Solve Problems on Arrays [Easy -> Medium -> Hard],3,Hard,9,9,findthrptingndmissingnmbr-i,Find the repeating and missing number,Hard,2,Arrays | Maths | Hashing | Data Structures,,https://www.codingninjas.com/codestudio/problems/missing-and-repeating-numbers_6828164,https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1,https://www.youtube.com/watch?v=2D0D8HE6uak,https://takeuforward.org/data-structure/find-the-repeating-and-missing-numbers/,https://takeuforward.org/plus/dsa/problems/find-the-repeating-and-missing-number,https://takeuforward.org/plus/dsa/problems/find-the-repeating-and-missing-number?tab=editorial,,https://www.codingninjas.com/codestudio/problems/missing-and-repeating-numbers_6828164?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3zWZoCs,https://youtu.be/2D0D8HE6uak,,,,gfg:bitly_expanded_destination_unverified
76,3,Solve Problems on Arrays [Easy -> Medium -> Hard],3,Hard,10,10,cntinvrsins,Count Inversions,Hard,2,Sorting | Arrays | Data Structures,,https://www.codingninjas.com/codestudio/problems/number-of-inversions_6840276,https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,https://www.youtube.com/watch?v=AseUmwVNaoY,https://takeuforward.org/data-structure/count-inversions-in-an-array/,https://takeuforward.org/plus/dsa/problems/count-inversions,https://takeuforward.org/plus/dsa/problems/count-inversions?tab=editorial,,https://www.codingninjas.com/codestudio/problems/number-of-inversions_6840276?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3PtLWLM,https://youtu.be/AseUmwVNaoY,,,,gfg:bitly_expanded_destination_unverified
77,3,Solve Problems on Arrays [Easy -> Medium -> Hard],3,Hard,11,11,rvrspirs,Reverse Pairs,Hard,2,Arrays | Sorting | Data Structures,https://leetcode.com/problems/reverse-pairs/,https://www.codingninjas.com/codestudio/problems/team-contest_6840309,https://www.geeksforgeeks.org/problems/pairwise-swap-elements-of-a-linked-list-by-swapping-data/1,https://www.youtube.com/watch?v=0e4bZaP3MDI,https://takeuforward.org/data-structure/count-reverse-pairs/,https://takeuforward.org/plus/dsa/problems/reverse-pairs,https://takeuforward.org/plus/dsa/problems/reverse-pairs?tab=editorial,,https://www.codingninjas.com/codestudio/problems/team-contest_6840309?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3SVIpJ6,https://youtu.be/0e4bZaP3MDI,,,,gfg:bitly_expanded_destination_unverified
78,3,Solve Problems on Arrays [Easy -> Medium -> Hard],3,Hard,12,12,mximmprdctsbrry,Maximum Product Subarray,Easy,0,Arrays | Data Structures,https://leetcode.com/problems/maximum-product-subarray/,https://www.codingninjas.com/codestudio/problems/subarray-with-maximum-product_6890008,https://www.geeksforgeeks.org/problems/maximum-product-subarray3604/0,https://www.youtube.com/watch?v=hnswaLJvr6g,https://takeuforward.org/data-structure/maximum-product-subarray-in-an-array/,https://takeuforward.org/plus/dsa/problems/maximum-product-subarray-in-an-array,https://takeuforward.org/plus/dsa/problems/maximum-product-subarray-in-an-array?tab=editorial,,https://www.codingninjas.com/codestudio/problems/subarray-with-maximum-product_6890008?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3PrlQsU,https://youtu.be/hnswaLJvr6g,,,,gfg:bitly_expanded_destination_unverified
79,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,1,1,binrysrchtfindxinsrtdrry,Binary Search to find X in sorted array,Easy,0,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/binary-search/,https://www.codingninjas.com/codestudio/problems/binary-search_972,https://www.geeksforgeeks.org/problems/binary-search-1587115620/1,https://www.youtube.com/watch?v=MHf6awe89xw,https://takeuforward.org/data-structure/binary-search-explained/,https://takeuforward.org/plus/dsa/problems/search-x-in-sorted-array,https://takeuforward.org/plus/dsa/problems/search-x-in-sorted-array?tab=editorial,,https://www.codingninjas.com/codestudio/problems/binary-search_972?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3QtKBpO,https://youtu.be/MHf6awe89xw,,,,gfg:bitly_expanded_destination_unverified
80,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,2,2,implmntlwrbnd,Implement Lower Bound,Easy,0,Binary Search | Arrays | Data Structures,,https://www.codingninjas.com/codestudio/problems/lower-bound_8165382,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1,https://www.youtube.com/watch?v=6zhGS79oQ4k,https://takeuforward.org/arrays/implement-lower-bound-bs-2/,https://takeuforward.org/plus/dsa/problems/lower-bound-,https://takeuforward.org/plus/dsa/problems/lower-bound-?tab=editorial,,https://www.codingninjas.com/codestudio/problems/lower-bound_8165382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Cf398N,https://youtu.be/6zhGS79oQ4k,,,,gfg:bitly_expanded_destination_unverified
81,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,3,3,implmntpprbnd,Implement Upper Bound,Easy,0,Arrays | Binary Search | Data Structures,,https://www.codingninjas.com/studio/problems/implement-upper-bound_8165383,https://www.geeksforgeeks.org/problems/ceil-the-floor2802/1,https://www.youtube.com/watch?v=6zhGS79oQ4k,https://takeuforward.org/arrays/implement-upper-bound/,https://takeuforward.org/plus/dsa/problems/upper-bound,https://takeuforward.org/plus/dsa/problems/upper-bound?tab=editorial,,https://www.codingninjas.com/studio/problems/implement-upper-bound_8165383?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3CgDDjE,https://youtu.be/6zhGS79oQ4k,,,,gfg:bitly_expanded_destination_unverified
82,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,4,4,srchinsrtpsitin,Search Insert Position,Easy,0,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/search-insert-position/,https://www.codingninjas.com/codestudio/problems/algorithm-to-find-best-insert-position-in-sorted-array_839813,https://www.geeksforgeeks.org/problems/search-insert-position-of-k-in-a-sorted-array/1,https://www.youtube.com/watch?v=6zhGS79oQ4k,https://takeuforward.org/arrays/search-insert-position/,https://takeuforward.org/plus/dsa/problems/search-insert-position,https://takeuforward.org/plus/dsa/problems/search-insert-position?tab=editorial,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.",https://www.codingninjas.com/codestudio/problems/algorithm-to-find-best-insert-position-in-sorted-array_839813?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3pFDbUN,https://youtu.be/6zhGS79oQ4k,,,,gfg:bitly_expanded_destination_unverified
83,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,5,5,chckifinptrryissrtd,Floor/Ceil in Sorted Array,Medium,1,Arrays | Data Structures,,https://www.codingninjas.com/studio/problems/ceiling-in-a-sorted-array_1825401,https://www.codingninjas.com/codestudio/problems/ceiling-in-a-sorted-array_1825401,https://www.youtube.com/watch?v=6zhGS79oQ4k,https://takeuforward.org/arrays/floor-and-ceil-in-sorted-array/,https://takeuforward.org/plus/dsa/problems/floor-and-ceil-in-sorted-array,https://takeuforward.org/plus/dsa/problems/floor-and-ceil-in-sorted-array?tab=editorial,,https://www.codingninjas.com/studio/problems/ceiling-in-a-sorted-array_1825401?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://www.youtube.com/watch?v=6zhGS79oQ4k&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=3,,,,review:id_does_not_match_title; gfg:domain_mismatch:coding_ninjas
84,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,6,6,findthfirstrlstccrrncfgivnnmbrinsrtdrry,Find the first or last occurrence of a given number in a sorted array,Easy,0,Binary Search | Arrays | Data Structures,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,https://www.codingninjas.com/codestudio/problems/first-and-last-position-of-an-element-in-sorted-array_1082549,https://www.geeksforgeeks.org/problems/first-and-last-occurrences-of-x3116/1,https://www.youtube.com/watch?v=hjR1IYVx9lY,https://takeuforward.org/data-structure/last-occurrence-in-a-sorted-array/,https://takeuforward.org/plus/dsa/problems/first-and-last-occurrence,https://takeuforward.org/plus/dsa/problems/first-and-last-occurrence?tab=editorial,,https://www.codingninjas.com/codestudio/problems/first-and-last-position-of-an-element-in-sorted-array_1082549?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3QuCFEP,https://youtu.be/hjR1IYVx9lY,,,,gfg:bitly_expanded_destination_unverified
85,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,7,7,cntccrrncsfnmbrinsrtdrrywithdplicts,Count occurrences of a number in a sorted array with duplicates,Easy,0,Hashing | Arrays | Data Structures,,https://www.codingninjas.com/codestudio/problems/occurrence-of-x-in-a-sorted-array_630456,https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1,https://www.youtube.com/watch?v=hjR1IYVx9lY,https://takeuforward.org/data-structure/count-occurrences-in-sorted-array/,,,,https://www.codingninjas.com/codestudio/problems/occurrence-of-x-in-a-sorted-array_630456?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3SVcOqW,https://youtu.be/hjR1IYVx9lY,,,,gfg:bitly_expanded_destination_unverified
86,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,8,8,srchinrttdsrtdrryi,Search in Rotated Sorted Array I,Medium,1,Arrays | Binary Search,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://www.codingninjas.com/codestudio/problems/search-in-rotated-sorted-array_1082554,https://www.geeksforgeeks.org/problems/search-in-a-rotated-array4618/1,https://www.youtube.com/watch?v=5qGrJbHhqFs,https://takeuforward.org/data-structure/search-element-in-a-rotated-sorted-array/,https://takeuforward.org/plus/dsa/problems/search-in-rotated-sorted-array-i,https://takeuforward.org/plus/dsa/problems/search-in-rotated-sorted-array-i?tab=editorial,,https://www.codingninjas.com/codestudio/problems/search-in-rotated-sorted-array_1082554?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3QH471y,https://youtu.be/5qGrJbHhqFs,,,,gfg:bitly_expanded_destination_unverified
87,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,9,9,srchinrttdsrtdrryii,Search in Rotated Sorted Array II,Medium,1,Arrays | Binary Search,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,https://www.codingninjas.com/codestudio/problems/search-in-a-rotated-sorted-array-ii_7449547,https://www.geeksforgeeks.org/problems/search-in-rotated-array-2/1,https://www.youtube.com/watch?v=w2G2W8l__pc,https://takeuforward.org/arrays/search-element-in-rotated-sorted-array-ii/,https://takeuforward.org/plus/dsa/problems/search-in-rotated-sorted-array-ii,https://takeuforward.org/plus/dsa/problems/search-in-rotated-sorted-array-ii?tab=editorial,,https://www.codingninjas.com/codestudio/problems/search-in-a-rotated-sorted-array-ii_7449547?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Rm85Nb,https://youtu.be/w2G2W8l__pc,,,,gfg:bitly_expanded_destination_unverified
88,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,10,10,findminimminrttdsrtdrry,Find minimum in Rotated Sorted Array,Medium,1,Arrays | Data Structures,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://www.codingninjas.com/codestudio/problems/rotated-array_1093219,https://www.geeksforgeeks.org/problems/minimum-element-in-a-sorted-and-rotated-array3611/1,https://www.youtube.com/watch?v=nhEMDKMB44g,https://takeuforward.org/data-structure/minimum-in-rotated-sorted-array/,https://takeuforward.org/plus/dsa/problems/find-minimum-in-rotated-sorted-array,https://takeuforward.org/plus/dsa/problems/find-minimum-in-rotated-sorted-array?tab=editorial,,https://www.codingninjas.com/codestudio/problems/rotated-array_1093219?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Az1OJ3,https://youtu.be/nhEMDKMB44g,,,,gfg:bitly_expanded_destination_unverified
89,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,11,11,findthwmnytimshsnrrybnrttd,Find out how many times has an array been rotated,Easy,0,Arrays | Data Structures,,https://www.codingninjas.com/codestudio/problems/rotation_7449070,https://www.geeksforgeeks.org/problems/rotation4723/1,https://www.youtube.com/watch?v=jtSiWTPLwd0,https://takeuforward.org/arrays/find-out-how-many-times-the-array-has-been-rotated/,https://takeuforward.org/plus/dsa/problems/find-out-how-many-times-the-array-is-rotated,https://takeuforward.org/plus/dsa/problems/find-out-how-many-times-the-array-is-rotated?tab=editorial,,https://www.codingninjas.com/codestudio/problems/rotation_7449070?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3dEvWJD,https://youtu.be/jtSiWTPLwd0,,,,gfg:bitly_expanded_destination_unverified
90,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,12,12,singllmntinsrtdrry,Single element in a Sorted Array,Easy,0,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/single-element-in-a-sorted-array/,https://www.codingninjas.com/codestudio/problems/unique-element-in-sorted-array_1112654,https://www.geeksforgeeks.org/problems/find-the-element-that-appears-once-in-sorted-array0624/1,https://www.youtube.com/watch?v=AZOmHuHadxQ,https://takeuforward.org/data-structure/search-single-element-in-a-sorted-array/,https://takeuforward.org/plus/dsa/problems/single-element-in-sorted-array,https://takeuforward.org/plus/dsa/problems/single-element-in-sorted-array?tab=editorial,,https://www.codingninjas.com/codestudio/problems/unique-element-in-sorted-array_1112654?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3AllLTj,https://youtu.be/AZOmHuHadxQ,,,,gfg:bitly_expanded_destination_unverified
91,4,"Binary Search [1D, 2D Arrays, Search Space]",1,BS on 1D Arrays,13,13,findpklmnt,Find peak element,Hard,2,Arrays | Binary Search,https://leetcode.com/problems/find-peak-element/,https://www.codingninjas.com/codestudio/problems/find-peak-element_1081482,https://www.geeksforgeeks.org/problems/peak-element/1,https://www.youtube.com/watch?v=cXxmbemS6XM,https://takeuforward.org/data-structure/peak-element-in-array/,https://takeuforward.org/plus/dsa/problems/find-peak-element,https://takeuforward.org/plus/dsa/problems/find-peak-element?tab=editorial,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.",https://www.codingninjas.com/codestudio/problems/find-peak-element_1081482?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Apsuf3,https://youtu.be/cXxmbemS6XM,,,,gfg:bitly_expanded_destination_unverified
92,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,1,1,findsqrrtfnmbrinlgn,Find square root of a number in log n,Medium,1,Binary Search | Data Structures,,https://www.codingninjas.com/codestudio/problems/square-root-integral_893351,https://www.geeksforgeeks.org/problems/square-root/0,https://www.youtube.com/watch?v=Bsv3FPUX_BA,https://takeuforward.org/binary-search/finding-sqrt-of-a-number-using-binary-search/,https://takeuforward.org/plus/dsa/problems/find-square-root-of-a-number,https://takeuforward.org/plus/dsa/problems/find-square-root-of-a-number?tab=editorial,,https://www.codingninjas.com/codestudio/problems/square-root-integral_893351?leftPanelTab=0?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3JXtGcE,https://youtu.be/Bsv3FPUX_BA,,,,gfg:bitly_expanded_destination_unverified
93,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,2,2,findthnthrtfnmbrsingbinrysrch,Find the Nth root of a number using binary search,Medium,1,Binary Search | Data Structures,,https://www.codingninjas.com/codestudio/problems/nth-root-of-m_1062679,https://www.geeksforgeeks.org/problems/find-nth-root-of-m5843/1,https://www.youtube.com/watch?v=rjEJeYCasHs,https://takeuforward.org/data-structure/nth-root-of-a-number-using-binary-search/,https://takeuforward.org/plus/dsa/problems/find-nth-root-of-a-number,https://takeuforward.org/plus/dsa/problems/find-nth-root-of-a-number?tab=editorial,,https://www.codingninjas.com/codestudio/problems/nth-root-of-m_1062679?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3zWNyrL,https://youtu.be/rjEJeYCasHs,,,,gfg:bitly_expanded_destination_unverified
94,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,3,3,kktingbnns,Koko Eating Bananas,Hard,2,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/koko-eating-bananas/,https://www.codingninjas.com/codestudio/problems/minimum-rate-to-eat-bananas_7449064,https://www.geeksforgeeks.org/problems/koko-eating-bananas/1,https://www.youtube.com/watch?v=qyfekrNni90,https://takeuforward.org/binary-search/koko-eating-bananas/,https://takeuforward.org/plus/dsa/problems/koko-eating-bananas,https://takeuforward.org/plus/dsa/problems/koko-eating-bananas?tab=editorial,,https://www.codingninjas.com/codestudio/problems/minimum-rate-to-eat-bananas_7449064?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3LSY491,https://youtu.be/qyfekrNni90,,,,gfg:bitly_expanded_destination_unverified
95,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,4,4,minimmdystmkmbqts,Minimum days to make M bouquets,Hard,2,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,https://www.codingninjas.com/codestudio/problems/rose-garden_2248080,https://www.geeksforgeeks.org/problems/minimum-days-to-make-m-bouquets/1,https://www.youtube.com/watch?v=TXAuxeYBTdg,https://takeuforward.org/arrays/minimum-days-to-make-m-bouquets/,https://takeuforward.org/plus/dsa/problems/minimum-days-to-make-m-bouquets,https://takeuforward.org/plus/dsa/problems/minimum-days-to-make-m-bouquets?tab=editorial,,https://www.codingninjas.com/codestudio/problems/rose-garden_2248080?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3CJ9Ezm,https://youtu.be/TXAuxeYBTdg,,,,gfg:bitly_expanded_destination_unverified
96,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,5,5,findthsmllstdivisr,Find the smallest Divisor,Easy,0,Maths | Data Structures,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,https://www.codingninjas.com/codestudio/problems/smallest-divisor-with-the-given-limit_1755882,https://www.geeksforgeeks.org/problems/smallest-divisor/1,https://www.youtube.com/watch?v=UvBKTVaG6U8,https://takeuforward.org/arrays/find-the-smallest-divisor-given-a-threshold/,https://takeuforward.org/plus/dsa/problems/find-the-smallest-divisor,https://takeuforward.org/plus/dsa/problems/find-the-smallest-divisor?tab=editorial,,https://www.codingninjas.com/codestudio/problems/smallest-divisor-with-the-given-limit_1755882?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3SJogFR,https://youtu.be/UvBKTVaG6U8,,,,gfg:bitly_expanded_destination_unverified
97,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,6,6,cpcitytshippckgswithinddys,Capacity to Ship Packages within D Days,Hard,2,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,https://www.codingninjas.com/codestudio/problems/capacity-to-ship-packages-within-d-days_1229379,https://www.geeksforgeeks.org/problems/capacity-to-ship-packages-within-d-days/1,https://www.youtube.com/watch?v=MG-Ac4TAvTY,https://takeuforward.org/arrays/capacity-to-ship-packages-within-d-days/,,,,https://www.codingninjas.com/codestudio/problems/capacity-to-ship-packages-within-d-days_1229379?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3PBInmS,https://youtu.be/MG-Ac4TAvTY,,,,gfg:bitly_expanded_destination_unverified
98,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,7,7,kthmissingpsitivnmbr,Kth Missing Positive Number,Easy,0,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/kth-missing-positive-number/,https://www.codingninjas.com/codestudio/problems/kth-missing-element_893215,https://www.geeksforgeeks.org/problems/k-th-missing-element3635/1,https://www.youtube.com/watch?v=uZ0N_hZpyps,https://takeuforward.org/arrays/kth-missing-positive-number/,,,"https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.",https://www.codingninjas.com/codestudio/problems/kth-missing-element_893215?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3bUFY9l,https://youtu.be/uZ0N_hZpyps,,,,gfg:bitly_expanded_destination_unverified
99,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,8,8,ggrssivcws,Aggressive Cows,Hard,2,Arrays | Binary Search | Data Structures,https://www.spoj.com/problems/AGGRCOW/,https://www.codingninjas.com/codestudio/problems/aggressive-cows_1082559,https://www.geeksforgeeks.org/problems/aggressive-cows/1,https://www.youtube.com/watch?v=R_Mfw4ew-Vo,https://takeuforward.org/data-structure/aggressive-cows-detailed-solution/,https://takeuforward.org/plus/dsa/problems/aggressive-cows,https://takeuforward.org/plus/dsa/problems/aggressive-cows?tab=editorial,,https://www.codingninjas.com/codestudio/problems/aggressive-cows_1082559?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3rBuE5Z,https://youtu.be/R_Mfw4ew-Vo,,,,leetcode:domain_mismatch:spoj; gfg:bitly_expanded_destination_unverified
100,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,9,9,bkllctinprblm,Book Allocation Problem,Hard,2,Arrays | Data Structures | Binary Search,https://www.naukri.com/code360/problems/allocate-books_1090540,https://www.codingninjas.com/codestudio/problems/allocate-books_1090540,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,https://www.youtube.com/watch?v=Z0hwjftStI4,https://takeuforward.org/data-structure/allocate-minimum-number-of-pages/,https://takeuforward.org/plus/dsa/problems/book-allocation-problem,https://takeuforward.org/plus/dsa/problems/book-allocation-problem?tab=editorial,https://bit.ly/3MZQOct,https://www.codingninjas.com/codestudio/problems/allocate-books_1090540?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3QMrMxP,https://youtu.be/Z0hwjftStI4,,,,leetcode:domain_mismatch:naukri_code360; leetcode:bitly_expanded_destination_unverified; gfg:bitly_expanded_destination_unverified
101,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,10,10,splitrrylrgstsm,Split array - Largest Sum,Hard,2,Arrays | Binary Search | Data Structures | Dynamic Programming,https://leetcode.com/problems/split-array-largest-sum/,https://www.codingninjas.com/codestudio/problems/largest-subarray-sum-minimized_7461751,https://www.geeksforgeeks.org/problems/largest-sum-subarray-of-size-at-least-k3121/1,https://www.youtube.com/watch?v=thUd_WJn6wk,https://takeuforward.org/arrays/split-array-largest-sum/,https://takeuforward.org/plus/dsa/problems/split-array---largest-sum,https://takeuforward.org/plus/dsa/problems/split-array---largest-sum?tab=editorial,,https://www.codingninjas.com/codestudio/problems/largest-subarray-sum-minimized_7461751?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Qx0RGs,https://www.youtube.com/watch?v=thUd_WJn6wk&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=20,,,,gfg:bitly_expanded_destination_unverified
102,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,11,11,painterspartition,Painter's partition,Hard,2,Arrays | Binary Search | Data Structures,,https://www.codingninjas.com/studio/problems/painter-s-partition-problem_1089557,,https://www.youtube.com/watch?v=thUd_WJn6wk,https://takeuforward.org/arrays/painters-partition-problem/,,,,https://www.codingninjas.com/studio/problems/painter-s-partition-problem_1089557?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://www.youtube.com/watch?v=thUd_WJn6wk&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=20,,,,
103,4,"Binary Search [1D, 2D Arrays, Search Space]",2,BS on Answers,12,12,minimizmxdistnctgssttin,Minimize Max Distance to Gas Station,Hard,2,Arrays | Binary Search | Data Structures,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,https://www.codingninjas.com/codestudio/problems/minimise-max-distance_7541449,https://www.geeksforgeeks.org/problems/minimize-max-distance-to-gas-station/1,https://www.youtube.com/watch?v=kMSBvlZ-_HA,https://takeuforward.org/arrays/minimise-maximum-distance-between-gas-stations/,https://takeuforward.org/plus/dsa/problems/minimise-max-distance-to-gas-stations,https://takeuforward.org/plus/dsa/problems/minimise-max-distance-to-gas-stations?tab=editorial,,https://www.codingninjas.com/codestudio/problems/minimise-max-distance_7541449?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3s40ybG,https://www.youtube.com/watch?v=kMSBvlZ-_HA&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=21,,,,gfg:bitly_expanded_destination_unverified
